"title","slug","year","coords","theme","era","region","location","notable_figures","visuals","prompt","image","difficulty","source"
"The Apollo 11 Moon Landing","the_apollo_11_moon_landing",1969,"0.6743,23.4729","scientific & technological breakthroughs","20th century",,"other","","The Lunar Module 'Eagle'; Astronaut Neil Armstrong stepping onto the moon's surface; The American Flag; Earth visible in the background","A highly detailed, photo-realistic image of The Apollo 11 Moon Landing as it might have appeared at the time. The scene includes The Lunar Module 'Eagle', Astronaut Neil Armstrong stepping onto the moon's surface, The American Flag, Earth visible in the background, depicted with authentic technology from the era. Lighting and atmosphere match the absence of atmosphere, captured as if by a high-resolution camera. No text or modern artifacts. Realistic proportions, cinematic style.","/images/the_apollo_11_moon_landing.jpg",2,"AI-generated metadata from historical context"
"Signing of the Armistice of 1918","signing_of_the_armistice_of_1918",1918,"49.407,2.887","foundational political moments","20th century",,"europe","","military officers in early 20th century uniforms; a train carriage with negotiation taking place; fallen autumn leaves; tension and solemn expressions","A highly detailed, photo-realistic image of the signing of the Armistice of 1918 as it might have appeared at the time. The scene includes military officers in early 20th century uniforms, a train carriage where the negotiation is taking place, fallen autumn leaves on the ground, and tension and solemn expressions on the faces. Lighting is subdued and overcast, matching the somber tone. No text or modern artifacts. Realistic proportions, cinematic style.","/images/signing_of_the_armistice_of_1918.jpg",2,"AI-generated metadata from historical context"
"Coronation of Hatshepsut in Ancient Egypt","coronation_of_hatshepsut_in_ancient_egypt",-1479,"25.738,32.601","royalty & coronations","ancient",,"middle east","","Hatshepsut in royal regalia; ancient Egyptian priests and officials; stone columns and hieroglyphics; golden sunlight over a temple courtyard","A highly detailed, photo-realistic image of the Coronation of Hatshepsut in Ancient Egypt as it might have appeared at the time. The scene includes Hatshepsut in full royal regalia, surrounded by ancient Egyptian priests and officials, with stone columns and hieroglyphics in the background, and golden sunlight flooding a temple courtyard. No text or modern artifacts. Realistic proportions, cinematic style.","/images/coronation_of_hatshepsut_in_ancient_egypt.jpg",3,"AI-generated metadata from historical context"
"Signing of the Declaration of Independence","signing-of-the-declaration-of-independence",1776,"39.9489,-75.15","foundational political moments","early modern",,"americas","","American founding fathers in formal 18th-century attire; wooden table with parchment; oil lamps illuminating the hall","A highly detailed, photo-realistic image of the Signing of the Declaration of Independence as it might have appeared at the time. The scene includes American founding fathers in formal 18th-century attire gathered around a wooden table, parchment being signed, oil lamps illuminating the hall, depicted with authentic clothing and technology from the era. Lighting and atmosphere match the time of day and weather, captured as if by a high-resolution camera. No text or modern artifacts. Realistic proportions, cinematic style.","/images/signing-of-the-declaration-of-independence.jpg",2,"AI-generated metadata from historical context"
"Fall of the Berlin Wall","fall-of-the-berlin-wall",1989,"52.5163,13.3777","historical","20th century",,"europe","","crowds celebrating on and around the Berlin Wall; pieces of wall being chipped away; cold evening with lights and flags","A highly detailed, photo-realistic image of the Fall of the Berlin Wall as it might have appeared at the time. The scene includes crowds celebrating on and around the Berlin Wall, people chipping away at the concrete, with a cold evening atmosphere illuminated by spotlights and handheld flags. Authentic 1980s clothing and city architecture. No text or modern artifacts. Realistic proportions, cinematic style.","/images/fall-of-the-berlin-wall.jpg",2,"AI-generated metadata from historical context"
"Storming of the Bastille","storming-of-the-bastille",1789,"48.8575,2.3622","wars & battles","early modern",,"europe","","angry crowd with makeshift weapons; stone fortress of the Bastille; smoke and fire in the air","A highly detailed, photo-realistic image of the Storming of the Bastille as it might have appeared at the time. The scene includes an angry Parisian crowd wielding makeshift weapons outside the imposing stone fortress, with smoke rising and revolutionary fervor in the air. Authentic 18th-century French clothing and urban details. No text or modern artifacts. Realistic proportions, cinematic style.","/images/storming-of-the-bastille.jpg",3,"AI-generated metadata from historical context"
"Battle of Hastings","battle-of-hastings",1066,"50.9116,0.4875","wars & battles","medieval",,"europe","","Norman cavalry charging uphill; shield wall of Anglo-Saxon warriors; flags and medieval armor","A highly detailed, photo-realistic image of the Battle of Hastings as it might have appeared in 1066. The scene includes Norman cavalry charging uphill against a shield wall of Anglo-Saxon warriors. They wear chainmail, conical helmets, and carry round shields with heraldic symbols. No gunpowder weapons, no modern flags. The landscape shows open countryside under an overcast sky. Authentic 11th-century military detail and natural terrain. Depicts Norman cavalry with kite shields and chainmail attacking uphill against a dense Anglo-Saxon shield wall. The battlefield is an open slope near a wooden palisade. No castles or fantasy elements. Clearly 11th-century. No text or modern artifacts. Realistic proportions, cinematic style. Framed in landscape orientation. Composition balanced for horizontal display.","/images/battle-of-hastings.jpg",4,"AI-generated metadata from historical context"
"Gutenberg Printing Press in Action","gutenberg-printing-press",1454,"49.9987,8.2711","scientific & technological breakthroughs","medieval",,"europe","","Gutenberg operating a wooden press; workers arranging metal type; freshly printed pages drying","A highly detailed, photo-realistic image of Gutenberg's Printing Press in Action as it might have appeared at the time. The scene includes Gutenberg operating a wooden press, workers handling metal movable type, and sheets of freshly printed pages drying on racks. Authentic 15th-century workshop detail and lighting. No text or modern artifacts. Realistic proportions, cinematic style.","/images/gutenberg-printing-press.jpg",2,"AI-generated metadata from historical context"
"Tiananmen Square Protests","tiananmen-square-protests",1989,"39.9032,116.3915","foundational political moments","20th century",,"asia","","peaceful protestors with banners; military tanks approaching; haze of tension in large square","A highly detailed, photo-realistic image of the Tiananmen Square Protests as it might have appeared at the time. The scene includes peaceful protestors holding banners in the vast square as military tanks approach, with an atmosphere of tension and overcast light. Authentic 1980s Chinese attire and architecture. No text or modern artifacts. Realistic proportions, cinematic style.","/images/tiananmen-square-protests.jpg",4,"AI-generated metadata from historical context"
"Eruption of Mount Vesuvius (79 CE)","eruption-of-vesuvius",79,"40.8214,14.4265","natural disasters","classical",,"europe","","plinian column of volcanic ash; terrified citizens fleeing; collapsed Roman houses","A highly detailed, photo-realistic image of the Eruption of Mount Vesuvius in 79 CE as it might have appeared at the time. The scene includes a towering column of volcanic ash rising from the mountain, with Roman citizens fleeing collapsing houses in panic. Authentic Roman architecture and dress. No text or modern artifacts. Realistic proportions, cinematic style.","/images/eruption-of-vesuvius.jpg",3,"AI-generated metadata from historical context"
"Martin Luther Posts the 95 Theses","martin-luther-theses",1517,"51.8676,12.6426","religious history","early modern",,"europe","","Luther nailing a document to church door; onlookers in 16th-century clothing; autumn light and old Wittenberg architecture","A highly detailed, photo-realistic image of Martin Luther posting the 95 Theses as it might have appeared at the time. The scene includes Martin Luther nailing the document to the door of the church, surrounded by curious onlookers in 16th-century clothing, with golden autumn light on the stone facade of Wittenberg. No text or modern artifacts. Realistic proportions, cinematic style.","/images/martin-luther-theses.jpg",3,"AI-generated metadata from historical context"
"Construction of the Great Wall of China","construction-of-great-wall",-220,"40.4319,116.5704","historical","classical",,"asia","","workers lifting stones; unfinished wall stretching into hills; guards in ancient Chinese armor","A highly detailed, photo-realistic image of the Construction of the Great Wall of China as it might have appeared at the time. The scene includes workers lifting stones and stacking them along an unfinished wall snaking through the hills, during the Qin Dynasty in 220 BCE, with workers in ancient Chinese robes and soldiers in early lamellar armor. The unfinished wall is built of earth and stone, with simple wooden scaffolds. No modern elements or later architecture styles. Framed in landscape orientation. Atmospheric lighting from the rising sun. No text or modern artifacts. Realistic proportions, cinematic style.","/images/construction-of-great-wall.jpg",3,"AI-generated metadata from historical context"
"First Flight of the Wright Brothers","first-flight-wright-brothers",1903,"36.0158,-75.6675","scientific & technological breakthroughs","20th century",,"americas","","Wright Flyer taking off from sand; Wilbur and Orville Wright running alongside; windy dunes and overcast sky","A highly detailed, photo-realistic image of the First Flight of the Wright Brothers as it might have appeared at the time. The scene includes the Wright Flyer lifting off from the sandy dunes as Wilbur and Orville Wright run beside it, with a cloudy sky and gusty wind. Authentic early 20th-century clothing and aviation detail. No text or modern artifacts. Realistic proportions, cinematic style.","/images/first-flight-wright-brothers.jpg",2,"AI-generated metadata from historical context"
"Alexander the Great Enters Babylon","alexander_the_great_enters_babylon",-331,"32.543,44.421","historical","classical",,"middle east","","Alexander the Great on a white horse; Babylonian citizens kneeling and reaching out; ancient Mesopotamian gate with lion reliefs; ziggurat in the background; Macedonian soldiers with spears and red cloaks","A vivid and meticulously detailed painting captures Alexander the Great's grand entry into Babylon in 331 BCE, as he marches proudly through the ancient city gate astride his white horse, flanked by his army and curious Babylonian onlookers. The scene, bathed in warm hues, showcases the awe-inspiring architecture of the gate and the distant ziggurat, with a panoramic composition bringing focus to Alexander's determined expression, surrounded by soldiers holding spears, shields, and a flag, while the crowd kneels and reaches out in reverence. Framed in landscape orientation. Composition balanced for horizontal display.","/images/alexander_the_great_enters_babylon.jpg",3,"AI-generated metadata from historical context"
"Assassination of Julius Caesar","assassination-of-julius-caesar",-44,"41.8968,12.4768","wars & battles","classical",,"europe","","Julius Caesar in white toga, wounded; Roman senators in red and brown robes wielding daggers; stone columns and Roman architecture; tense expressions and chaotic movement","A highly detailed, photo-realistic image of the assassination of Julius Caesar as it might have appeared in 44 BCE. The scene includes Julius Caesar in a white toga surrounded by conspiring Roman senators in red and brown robes, each holding daggers under the vaulted stone ceilings of the Roman Senate. Tense expressions and dynamic movement portray the chaos of betrayal. Authentic Roman attire and architecture. No modern artifacts. Realistic proportions, cinematic style. Framed in landscape orientation. Composition balanced for horizontal display.","/images/assassination-of-julius-caesar.jpg",3,"AI-generated metadata from historical context"
"Leonardo da Vinci Paints the Mona Lisa","da-vinci-paints-mona-lisa",1504,"43.7696,11.2558","art & culture","early modern",,"europe","","Leonardo da Vinci in Renaissance robes with a brush; Lisa Gherardini seated in elegant dress; wooden workbench with oil paints and parchment sketches; arched studio windows letting in golden light","A highly detailed, photo-realistic image of Leonardo da Vinci painting the Mona Lisa in his Florentine workshop around 1504. The scene includes Leonardo with brush in hand, wearing Renaissance robes, working on the portrait of Lisa Gherardini seated calmly before him. Sunlight pours through arched windows, casting soft light on wooden furniture, parchment sketches, and oil pigments. The setting reflects authentic 16th-century Italian studio atmosphere. No text or modern artifacts. Realistic proportions, cinematic style. Framed in landscape orientation. Composition balanced for horizontal display.","/images/da-vinci-paints-mona-lisa.jpg",2,"AI-generated metadata from historical context"
"Battle of Verdun","battle-of-verdun",1916,"49.1575,5.3844","wars & battles","20th century",,"europe","","French soldiers in muddy trenches; explosions in the distance; barbed wire and cratered battlefield; clouds of smoke under overcast sky","A highly detailed, photo-realistic image of the Battle of Verdun as it might have appeared in 1916. The scene includes exhausted French soldiers in “bleu horizon” uniforms entrenched in mud-soaked foxholes near the ruins of Fort Douaumont, with twisted barbed wire in the foreground and cratered terrain stretching into the smoky distance. Massive artillery shells explode across a scorched landscape beneath a grey, overcast sky. Narrow-gauge supply tracks and makeshift shelters hint at the prolonged nature of the battle. The devastation is immense, with burned trees and collapsed stonework scattered across the Meuse sector. Authentic early 20th-century French military detail. No modern artifacts or text. Realistic proportions, cinematic style. Framed in landscape orientation. Composition balanced for horizontal display.","/images/battle-of-verdun.jpg",3,"AI-generated metadata from historical context"
"Nikola Tesla Demonstrates Alternating Current","nikola-tesla-ac-electricity-demonstration",1893,"41.8781,-87.6298","Science & Invention","Modern Era","North America","Chicago, United States","","Tesla standing beside electrical coils; brilliant arcs of electricity crossing the room; curious onlookers at the World's Columbian Exposition; early 20th-century exhibition hall interior","A highly detailed, photo-realistic image of Nikola Tesla demonstrating alternating current electricity at the 1893 World's Columbian Exposition in Chicago. The scene shows Tesla standing confidently next to powerful coils emitting brilliant arcs of electricity, illuminating the dark hall filled with curious spectators in late 19th-century attire. The large exhibition room is lit by glowing bulbs powered wirelessly. Authentic technology, lighting, and clothing from the era. No modern artifacts. Realistic proportions, cinematic style. Framed in landscape orientation. Composition balanced for horizontal display.","/images/nikola-tesla-ac-electricity-demonstration.jpg",3,
