title,slug,year,coords,theme,era,region,notable_figures,visuals,prompt,image_url,difficulty,source,id,country,city,notable_location,era_id,theme_id,caption,wiki_url,broad_era
The fall of Constantinople to the Ottoman Empire,the-fall-of-constantinople-to-the-ottoman-empire,1453,"[41.0082, 28.9784]",wars & battles,Ottoman Empire,Europe,"Mehmed II, Constantine XI",Ottoman soldiers breaching the city walls; Byzantine defenders on the ramparts; The Hagia Sophia in the background; Cannon fire and smoke; The Golden Horn waterway,"A highly detailed, photo-realistic image of The fall of Constantinople to the Ottoman Empire as it might have appeared at the time. The scene includes Ottoman soldiers breaching the city walls, Byzantine defenders on the ramparts, The Hagia Sophia in the background, Cannon fire and smoke, The Golden Horn waterway, depicted with authentic clothing, environment, and technology from the historical era. Captured as if by a high-resolution camera. No text or modern artifacts. Realistic proportions, cinematic style.",/images/the-fall-of-constantinople-to-the-ottoman-empire.jpg,3,AI-generated based on historical records,1e6f8436-7eed-4df4-a210-85d083eed487,Turkey,Istanbul,Hagia Sophia,12,1,"The fall of Constantinople in 1453 marked the end of the Byzantine Empire and was a pivotal moment in history, as it not only shifted the balance of power in the region but also spurred European exploration by blocking land routes to Asia.",https://en.wikipedia.org/wiki/Fall_of_Constantinople,5. Middle Ages
"The meeting of Roosevelt, Churchill, and Stalin at the Yalta Conference",the-meeting-of-roosevelt-churchill-and-stalin-at-the-yalta-conference,1945,"[44.5126, 34.175]",diplomacy & international relations,Cold War Europe,Europe,"Franklin D. Roosevelt,Winston Churchill,Joseph Stalin","Roosevelt, Churchill, and Stalin seated together; conference table with documents and maps; ornate room with period-appropriate decor; large windows showing the Black Sea; military and political advisors in the background","A highly detailed, photo-realistic image of The meeting of Roosevelt, Churchill, and Stalin at the Yalta Conference as it might have appeared at the time. The scene includes Roosevelt, Churchill, and Stalin seated together, conference table with documents and maps, ornate room with period-appropriate decor, large windows showing the Black Sea, military and political advisors in the background, depicted with authentic clothing, environment, and technology from the historical era. Captured as if by a high-resolution camera. No text or modern artifacts. Realistic proportions, cinematic style.",/images/the-meeting-of-roosevelt-churchill-and-stalin-at-the-yalta-conference.jpg,3,AI-generated based on historical records,d5ae5b57-2b55-4e22-b4e1-e4198d9d09b6,Soviet Union,Yalta,Livadia Palace,25,3,"In February 1945, the leaders of the Allied powers convened at the Yalta Conference to discuss the reorganization of post-war Europe, setting the stage for the Cold War.",https://en.wikipedia.org/wiki/Yalta_Conference,7. Industrial Age
Tiananmen Square Protests,tiananmen-square-protests,1989,"[39.905690862393, 116.397628783592]",foundational political moments,People's Republic of China,Asia,,peaceful protestors with banners; military tanks approaching; haze of tension in large square,"A highly detailed, photo-realistic image of the Tiananmen Square Protests as it might have appeared at the time. The scene includes peaceful protestors holding banners in the vast square as military tanks approach, with an atmosphere of tension and overcast light. Authentic 1980s Chinese attire and architecture. No text or modern artifacts. Realistic proportions, cinematic style.",/images/tiananmen-square-protests.jpg,4,AI-generated metadata from historical context,6471a6cd-f818-4e56-8141-8125cb488d2e,China,Beijin,Tiananmen Square,42,2,"The Tiananmen Square Protests of 1989, also known as the June Fourth Incident, were a pivotal moment in Chinese history where thousands of students and citizens gathered to demand political reform and greater freedoms, leading to a violent military crackdown that remains a sensitive topic in China today.",https://en.wikipedia.org/wiki/1989_Tiananmen_Square_protests_and_massacre,8. 20th Century
Assassination of Julius Caesar,assassination-of-julius-caesar,-44,"[41.8956508103116, 12.47663461292]",wars & battles,Roman Republic,Europe,,"Julius Caesar in white toga, wounded; Roman senators in red and brown robes wielding daggers; stone columns and Roman architecture; tense expressions and chaotic movement","A highly detailed, photo-realistic image of the assassination of Julius Caesar as it might have appeared in 44 BCE. The scene includes Julius Caesar in a white toga surrounded by conspiring Roman senators in red and brown robes, each holding daggers under the vaulted stone ceilings of the Roman Senate. Tense expressions and dynamic movement portray the chaos of betrayal. Authentic Roman attire and architecture. No modern artifacts. Realistic proportions, cinematic style. Framed in landscape orientation. Composition balanced for horizontal display.",/images/assassination-of-julius-caesar.jpg,3,AI-generated metadata from historical context,46d5f8b2-e44f-47ed-bcbd-ee1fd71f3b0d,Italy,Rome,Curia of Pompei,15,1,"The assassination of Julius Caesar on the Ides of March was orchestrated by a group of Roman senators, including his close friend Brutus, as a desperate attempt to restore the Republic and prevent Caesar from becoming a dictator for life.",https://en.wikipedia.org/wiki/Assassination_of_Julius_Caesar,4. Ancient World
The Battle of Cannae,the-battle-of-cannae,-216,"[41.2959, 16.2903]",wars & battles,Roman Republic,Europe,"Hannibal Barca, Gaius Terentius Varro, Lucius Aemilius Paullus",Roman soldiers in formation; Carthaginian war elephants; dusty battlefield; ancient military banners; Mediterranean landscape,"A highly detailed, photo-realistic image of The Battle of Cannae as it might have appeared at the time. The scene includes Roman soldiers in formation, Carthaginian war elephants, a dusty battlefield, ancient military banners, and a Mediterranean landscape, depicted with authentic clothing, environment, and technology from the historical era. Captured as if by a high-resolution camera. No text or modern artifacts. Realistic proportions, cinematic style.",/images/the-battle-of-cannae.jpg,3,AI-generated based on historical records,4eae0890-d392-45cd-a81a-0be7aa05b6c1,Italy,,Cannae,15,1,The Battle of Cannae was a pivotal encounter during the Second Punic War where Hannibal's forces achieved a decisive victory against the Romans.,https://en.wikipedia.org/wiki/Battle_of_Cannae,4. Ancient World
The founding of the Red Cross by Henri Dunant,the-founding-of-the-red-cross-by-henri-dunant,1863,"[46.2044, 6.1432]",diplomacy & international relations,Industrial Revolution,Europe,Henri Dunant,Henri Dunant in 19th-century attire; a meeting room with delegates; early Red Cross symbols; period-specific furniture; Geneva cityscape visible through windows,"A highly detailed, photo-realistic image of The founding of the Red Cross by Henri Dunant as it might have appeared at the time. The scene includes Henri Dunant in 19th-century attire, a meeting room with delegates, early Red Cross symbols, period-specific furniture, and the Geneva cityscape visible through windows, depicted with authentic clothing, environment, and technology from the historical era. Captured as if by a high-resolution camera. No text or modern artifacts. Realistic proportions, cinematic style.",/images/the-founding-of-the-red-cross-by-henri-dunant.jpg,3,AI-generated based on historical records,42996b19-7b37-45ad-9c13-d2bbb497471e,Switzerland,Geneva,Geneva,21,3,"In 1863, Henri Dunant founded the Red Cross in Geneva, marking a pivotal moment in humanitarian aid and international cooperation.",https://en.wikipedia.org/wiki/International_Committee_of_the_Red_Cross,7. Industrial Age
The Berlin Airlift begins as a response to the Soviet blockade,the-berlin-airlift-begins-as-a-response-to-the-soviet-blockade,1948,"[52.52, 13.405]",diplomacy & international relations,Cold War Europe,Europe,"Harry S. Truman, Joseph Stalin, Lucius D. Clay",cargo planes landing at Tempelhof Airport; Berliners watching planes from rooftops; pallets of supplies being unloaded; American and British pilots in uniform; Soviet soldiers observing from a distance,"A highly detailed, photo-realistic image of The Berlin Airlift begins as a response to the Soviet blockade as it might have appeared at the time. The scene includes cargo planes landing at Tempelhof Airport, Berliners watching planes from rooftops, pallets of supplies being unloaded, American and British pilots in uniform, and Soviet soldiers observing from a distance, depicted with authentic clothing, environment, and technology from the historical era. Captured as if by a high-resolution camera. No text or modern artifacts. Realistic proportions, cinematic style.",/images/the-berlin-airlift-begins-as-a-response-to-the-soviet-blockade.jpg,3,AI-generated based on historical records,6716ba05-4c61-48e1-bbec-9e0beff0d768,Germany,Berlin,Tempelhof Airport,25,3,"In 1948, the Berlin Airlift became a pivotal moment in Cold War history, showcasing the resolve of Western Allies to supply West Berlin amidst a Soviet blockade.",https://en.wikipedia.org/wiki/Berlin_Airlift,8. 20th Century
The Opening of Abbey Road Studios to the Public,the-opening-of-abbey-road-studios-to-the-public,1983,"[51.5321, -0.1775]",art & culture,Cold War Europe,Europe,"Paul McCartney, George Martin",crowds of music enthusiasts; iconic zebra crossing; historic studio building; vintage recording equipment; musicians and tourists,"A highly detailed, photo-realistic image of The Opening of Abbey Road Studios to the Public as it might have appeared at the time. The scene includes crowds of music enthusiasts, iconic zebra crossing, historic studio building, vintage recording equipment, musicians and tourists, depicted with authentic clothing, environment, and technology from the historical era. Captured as if by a high-resolution camera. No text or modern artifacts. Realistic proportions, cinematic style.",/images/the-opening-of-abbey-road-studios-to-the-public.jpg,3,AI-generated based on historical records,43830e35-2ad4-4f68-abd8-0eb856466c58,United Kingdom,London,Abbey Road Studios,25,10,"In 1983, Abbey Road Studios, renowned for its association with The Beatles, opened its doors to the public for the first time, allowing fans to explore the iconic recording spaces where legendary music was created.",https://en.wikipedia.org/wiki/Abbey_Road_Studios,8. 20th Century
The trial of Galileo Galilei before the Inquisition,the-trial-of-galileo-galilei-before-the-inquisition,1633,"[41.9029, 12.4534]",law & justice,Age of Exploration,Europe,Galileo Galilei,Galileo standing before the Inquisition tribunal; Renaissance-era courtroom setting; Inquisitors in period-appropriate robes; Galileo's scientific instruments; Dimly lit room with wooden furniture,"A highly detailed, photo-realistic image of The trial of Galileo Galilei before the Inquisition as it might have appeared at the time. The scene includes Galileo standing before the Inquisition tribunal, a Renaissance-era courtroom setting, Inquisitors in period-appropriate robes, Galileo's scientific instruments, and a dimly lit room with wooden furniture, depicted with authentic clothing, environment, and technology from the historical era. Captured as if by a high-resolution camera. No text or modern artifacts. Realistic proportions, cinematic style.",/images/the-trial-of-galileo-galilei-before-the-inquisition.jpg,3,AI-generated based on historical records,600bf736-ee10-4f81-941e-c47afddb7a10,Italy,Rome,Holy Office,20,4,"In 1633, Galileo Galilei faced the Inquisition in Rome, challenging the Church's views with his support of heliocentrism, a pivotal moment in the history of science.",https://en.wikipedia.org/wiki/Galileo_affair,6. Early Modern Era
The trial and execution of Joan of Arc,the-trial-and-execution-of-joan-of-arc,1431,"[49.4431, 1.0993]",law & justice,Medieval Europe,Europe,Joan of Arc,medieval courtroom; Joan of Arc in chains; judges in period attire; Rouen Castle; execution scene with stake,"A highly detailed, photo-realistic image of The trial and execution of Joan of Arc as it might have appeared at the time. The scene includes a medieval courtroom, Joan of Arc in chains, judges in period attire, Rouen Castle, and an execution scene with stake, depicted with authentic clothing, environment, and technology from the historical era. Captured as if by a high-resolution camera. No text or modern artifacts. Realistic proportions, cinematic style.",/images/the-trial-and-execution-of-joan-of-arc.jpg,3,AI-generated based on historical records,b9426cde-d747-43aa-a721-6d890dbee6d6,France,Rouen,Rouen Castle,18,4,"Joan of Arc, a pivotal figure in French history, faced trial and execution in 1431, marking a significant moment in the Hundred Years' War.",https://en.wikipedia.org/wiki/Trial_of_Joan_of_Arc,5. Middle Ages
